English,Maths,Science,School,Area
64.3,51.9,55.0,Anfield Road Primary School,Liverpool
74.0,38.3,53.5,Anfield Road Primary School,Liverpool
50.4,50.1,46.0,Anfield Road Primary School,Liverpool
79.9,45.9,45.1,Anfield Road Primary School,Liverpool
47.1,72.7,76.7,Anfield Road Primary School,Liverpool
45.5,45.8,50.4,Anfield Road Primary School,Liverpool
80.5,70.4,62.4,Arnot St Mary CofE Primary School,Walton-on-the-Hill
53.3,64.4,90.1,Arnot St Mary CofE Primary School,Walton-on-the-Hill
69.4,41.9,76.5,Arnot St Mary CofE Primary School,Walton-on-the-Hill
81.8,63.7,91.4,Arnot St Mary CofE Primary School,Walton-on-the-Hill
75.1,74.7,50.9,Arnot St Mary CofE Primary School,Walton-on-the-Hill
68.4,75.1,25.3,Arnot St Mary CofE Primary School,Walton-on-the-Hill
80.2,55.3,50.3,Arnot St Mary CofE Primary School,Walton-on-the-Hill
38.9,52.0,54.8,Arnot St Mary CofE Primary School,Walton-on-the-Hill
63.3,53.9,65.4,Arnot St Mary CofE Primary School,Walton-on-the-Hill
57.5,57.4,84.2,Arnot St Mary CofE Primary School,Walton-on-the-Hill
69.9,84.7,59.7,Arnot St Mary CofE Primary School,Walton-on-the-Hill
61.8,47.8,26.0,Arnot St Mary CofE Primary School,Walton-on-the-Hill
64.8,68.2,46.4,Arnot St Mary CofE Primary School,Walton-on-the-Hill
65.8,91.2,81.8,Arnot St Mary CofE Primary School,Walton-on-the-Hill
32.4,67.5,78.1,Arnot St Mary CofE Primary School,Walton-on-the-Hill
66.0,90.1,35.1,Arnot St Mary CofE Primary School,Walton-on-the-Hill
30.2,57.0,90.4,Arnot St Mary CofE Primary School,Walton-on-the-Hill
76.9,56.5,70.5,Arnot St Mary CofE Primary School,Walton-on-the-Hill
47.9,38.4,62.8,Arnot St Mary CofE Primary School,Walton-on-the-Hill
43.6,62.8,53.1,Arnot St Mary CofE Primary School,Walton-on-the-Hill
84.4,45.1,80.7,Arnot St Mary CofE Primary School,Walton-on-the-Hill
57.0,53.8,0.0,Arnot St Mary CofE Primary School,Walton-on-the-Hill
50.6,49.3,83.5,Arnot St Mary CofE Primary School,Walton-on-the-Hill
58.7,52.9,64.8,Arnot St Mary CofE Primary School,Walton-on-the-Hill
63.8,44.6,71.7,Arnot St Mary CofE Primary School,Walton-on-the-Hill
47.1,49.6,69.9,Arnot St Mary CofE Primary School,Walton-on-the-Hill
69.7,38.6,34.9,Arnot St Mary CofE Primary School,Walton-on-the-Hill
50.0,57.7,75.8,Arnot St Mary CofE Primary School,Walton-on-the-Hill
78.3,67.2,93.9,Arnot St Mary CofE Primary School,Walton-on-the-Hill
83.6,62.4,39.8,Arnot St Mary CofE Primary School,Walton-on-the-Hill
65.0,85.4,40.3,Arnot St Mary CofE Primary School,Walton-on-the-Hill
0.0,59.8,45.0,Arnot St Mary CofE Primary School,Walton-on-the-Hill
55.9,65.1,77.2,Arnot St Mary CofE Primary School,Walton-on-the-Hill
90.3,50.2,23.1,Arnot St Mary CofE Primary School,Walton-on-the-Hill
96.2,30.6,67.8,Arnot St Mary CofE Primary School,Walton-on-the-Hill
63.8,78.9,64.9,Arnot St Mary CofE Primary School,Walton-on-the-Hill
48.0,51.1,75.2,Arnot St Mary CofE Primary School,Walton-on-the-Hill
76.2,61.6,53.8,Ashurst Primary School,Blackbrook
84.2,47.9,26.1,Ashurst Primary School,Blackbrook
28.3,23.5,61.7,Ashurst Primary School,Blackbrook
48.6,43.9,41.0,Ashurst Primary School,Blackbrook
6.2,59.9,27.3,Ashurst Primary School,Blackbrook
51.6,64.1,67.4,Ashurst Primary School,Blackbrook
55.0,76.8,29.5,Ashurst Primary School,Blackbrook
0.6,38.5,65.9,Ashurst Primary School,Blackbrook
63.8,52.5,44.6,Ashurst Primary School,Blackbrook
25.0,55.1,62.7,Ashurst Primary School,Blackbrook
66.2,71.2,56.2,Ashurst Primary School,Blackbrook
76.5,52.6,57.8,Ashurst Primary School,Blackbrook
68.3,52.6,79.5,Ashurst Primary School,Blackbrook
56.9,53.6,82.4,Ashurst Primary School,Blackbrook
54.0,59.4,41.2,Ashurst Primary School,Blackbrook
46.3,66.1,41.3,Ashurst Primary School,Blackbrook
61.0,44.6,79.5,Ashurst Primary School,Blackbrook
63.0,53.1,42.4,Ashurst Primary School,Blackbrook
69.4,66.9,59.5,Ashurst Primary School,Blackbrook
52.7,56.2,42.0,Ashurst Primary School,Blackbrook
73.0,60.9,12.3,Ashurst Primary School,Blackbrook
95.2,64.0,18.8,Ashurst Primary School,Blackbrook
84.8,35.0,22.2,Ashurst Primary School,Blackbrook
85.1,44.3,57.0,Ashurst Primary School,Blackbrook
21.4,52.1,56.5,Ashurst Primary School,Blackbrook
51.2,50.4,32.4,Ashurst Primary School,Blackbrook
70.4,62.5,20.7,Ashurst Primary School,Blackbrook
44.1,49.0,57.7,Ashurst Primary School,Blackbrook
33.9,51.2,75.3,Ashurst Primary School,Blackbrook
51.8,58.0,47.8,Ashurst Primary School,Blackbrook
55.0,28.7,78.1,Ashurst Primary School,Blackbrook
43.2,50.7,45.2,Ashurst Primary School,Blackbrook
38.2,78.3,76.3,Ashurst Primary School,Blackbrook
41.5,56.2,80.7,Ashurst Primary School,Blackbrook
53.6,50.8,52.6,Ashurst Primary School,Blackbrook
38.2,35.4,65.5,Ashurst Primary School,Blackbrook
77.8,39.0,76.3,Ashurst Primary School,Blackbrook
33.5,67.1,42.2,Ashurst Primary School,Blackbrook
38.6,60.2,50.2,Ashurst Primary School,Blackbrook
56.0,51.4,59.8,Ashurst Primary School,Blackbrook
30.2,22.9,23.7,Ashurst Primary School,Blackbrook
34.7,73.4,44.6,Ashurst Primary School,Blackbrook
57.1,39.7,79.5,Ashurst Primary School,Blackbrook
43.2,43.9,29.5,Ashurst Primary School,Blackbrook
46.6,57.0,64.6,Ashurst Primary School,Blackbrook
82.5,30.5,48.8,Ashurst Primary School,Blackbrook
80.2,22.6,59.3,Avalon School,West Kirby
58.8,69.7,82.0,Avalon School,West Kirby
72.3,71.9,52.0,Avalon School,West Kirby
82.0,73.2,42.9,Avalon School,West Kirby
61.2,54.8,50.1,Avalon School,West Kirby
72.6,55.3,53.5,Avalon School,West Kirby
92.1,66.3,37.6,Avalon School,West Kirby
73.4,66.5,59.5,Avalon School,West Kirby
58.8,56.6,52.6,Avalon School,West Kirby
59.6,66.3,49.5,Avalon School,West Kirby
60.9,58.2,76.1,Avalon School,West Kirby
61.5,55.0,85.8,Avalon School,West Kirby
47.4,47.4,57.8,Avalon School,West Kirby
68.6,59.2,54.7,Avalon School,West Kirby
66.1,77.4,65.7,Avalon School,West Kirby
54.5,61.9,63.9,Avalon School,West Kirby
61.5,57.7,66.2,Avalon School,West Kirby
41.8,49.8,65.9,Avalon School,West Kirby
78.1,80.3,77.5,Avalon School,West Kirby
53.8,54.7,93.2,Avalon School,West Kirby
48.1,65.2,0.0,Avalon School,West Kirby
66.9,48.1,74.2,Avalon School,West Kirby
60.7,50.7,46.3,Avalon School,West Kirby
68.5,64.9,37.6,Avalon School,West Kirby
55.3,57.9,58.3,Avalon School,West Kirby
85.4,62.0,68.8,Avalon School,West Kirby
74.1,72.7,49.3,Avalon School,West Kirby
33.0,60.1,53.9,Avalon School,West Kirby
59.1,66.6,80.8,Avalon School,West Kirby
49.6,73.3,40.6,Avalon School,West Kirby
98.3,52.5,43.9,Avalon School,West Kirby
66.8,61.5,52.9,Avalon School,West Kirby
55.9,62.9,68.3,Avalon School,West Kirby
70.3,86.0,73.5,Avalon School,West Kirby
39.4,66.3,69.7,Avalon School,West Kirby
44.8,40.1,54.1,Avalon School,West Kirby
84.2,65.1,52.5,Avalon School,West Kirby
46.1,68.9,62.2,Avalon School,West Kirby
58.3,78.8,44.8,Avalon School,West Kirby
50.3,59.7,58.2,Avalon School,West Kirby
75.3,61.6,54.7,Banks Methodist School,Banks
71.8,52.1,73.0,Banks Methodist School,Banks
41.0,50.5,65.7,Banks Methodist School,Banks
53.6,76.3,77.8,Banks Methodist School,Banks
74.9,67.5,57.6,Banks Methodist School,Banks
58.6,44.8,59.4,Banks Methodist School,Banks
52.3,61.5,45.7,Banks Methodist School,Banks
42.4,72.4,74.6,Banks Methodist School,Banks
56.5,76.5,61.1,Banks Methodist School,Banks
58.2,57.8,73.8,Banks Methodist School,Banks
37.0,71.9,59.4,Banks Methodist School,Banks
75.2,56.5,71.6,Banks Methodist School,Banks
62.5,53.1,56.5,Banks Methodist School,Banks
66.5,41.7,87.0,Banks Methodist School,Banks
68.0,36.0,52.6,Banks Methodist School,Banks
61.0,48.9,52.9,Banks Methodist School,Banks
63.7,60.0,54.6,Banks Methodist School,Banks
79.8,76.9,59.4,Banks Methodist School,Banks
70.5,57.5,65.9,Banks Methodist School,Banks
55.8,61.1,61.2,Banks Methodist School,Banks
62.3,52.0,50.7,Banks Methodist School,Banks
67.2,0.0,78.9,Banks Methodist School,Banks
65.1,42.8,75.7,Banks Methodist School,Banks
50.2,58.9,89.3,Banks Methodist School,Banks
85.9,72.9,71.3,Banks Methodist School,Banks
35.0,62.2,58.7,Banks Methodist School,Banks
53.9,62.4,43.3,Banks Methodist School,Banks
71.3,47.8,64.0,Banks Methodist School,Banks
67.1,58.6,53.9,Banks Methodist School,Banks
76.6,30.6,63.2,Banks Methodist School,Banks
43.5,56.0,74.2,Banks Methodist School,Banks
51.1,66.2,62.6,Banks Methodist School,Banks
80.4,63.8,61.8,Banks Methodist School,Banks
67.5,95.8,59.1,Banks Road Primary School,Liverpool
73.8,65.6,86.2,Banks Road Primary School,Liverpool
62.3,38.2,42.9,Banks Road Primary School,Liverpool
72.2,61.0,66.9,Banks Road Primary School,Liverpool
49.1,65.6,82.4,Banks Road Primary School,Liverpool
82.0,82.7,44.1,Banks Road Primary School,Liverpool
63.0,43.2,60.2,Banks Road Primary School,Liverpool
99.6,68.7,62.0,Banks Road Primary School,Liverpool
73.6,63.6,47.8,Banks Road Primary School,Liverpool
74.8,56.8,81.1,Banks Road Primary School,Liverpool
57.4,75.3,44.5,Banks Road Primary School,Liverpool
62.4,69.5,64.9,Banks Road Primary School,Liverpool
66.2,64.6,58.3,Banks Road Primary School,Liverpool
25.4,76.6,78.3,Banks Road Primary School,Liverpool
70.0,39.7,76.7,Banks Road Primary School,Liverpool
67.9,52.2,83.1,Banks Road Primary School,Liverpool
80.7,77.5,39.9,Banks Road Primary School,Liverpool
48.9,0.0,72.7,Banks Road Primary School,Liverpool
59.9,49.1,50.1,Banks Road Primary School,Liverpool
61.0,48.2,91.6,Banks Road Primary School,Liverpool
30.9,0.0,32.7,Banks Road Primary School,Liverpool
72.0,58.0,84.6,Banks Road Primary School,Liverpool
59.7,68.7,51.3,Banks Road Primary School,Liverpool
81.1,75.7,73.0,Banks Road Primary School,Liverpool
55.9,77.7,77.9,Banks Road Primary School,Liverpool
69.5,81.6,39.0,Banks Road Primary School,Liverpool
58.3,67.7,68.6,Banks Road Primary School,Liverpool
62.8,59.7,48.2,Banks Road Primary School,Liverpool
72.2,73.5,65.7,Banks Road Primary School,Liverpool
83.8,45.4,21.2,Banks Road Primary School,Liverpool
44.2,80.6,91.5,Banks Road Primary School,Liverpool
54.4,82.5,42.3,Banks Road Primary School,Liverpool
57.3,44.9,63.5,Banks Road Primary School,Liverpool
80.2,64.7,35.4,Banks Road Primary School,Liverpool
50.8,0.0,38.7,Banks Road Primary School,Liverpool
91.3,45.2,51.9,Banks Road Primary School,Liverpool
77.5,76.4,69.3,Barlows Primary School,Fazakerley
80.9,47.3,64.5,Barlows Primary School,Fazakerley
47.7,32.2,55.0,Barlows Primary School,Fazakerley
33.6,56.3,59.8,Barlows Primary School,Fazakerley
88.3,73.7,60.7,Barlows Primary School,Fazakerley
73.7,87.1,68.1,Barlows Primary School,Fazakerley
36.6,56.2,52.4,Barlows Primary School,Fazakerley
81.2,62.8,55.3,Barlows Primary School,Fazakerley
63.0,39.5,63.4,Barlows Primary School,Fazakerley
41.0,47.1,78.3,Barlows Primary School,Fazakerley
55.4,70.3,62.3,Barlows Primary School,Fazakerley
33.7,47.0,59.0,Barlows Primary School,Fazakerley
53.0,24.1,52.6,Barlows Primary School,Fazakerley
54.4,51.9,92.4,Barlows Primary School,Fazakerley
64.7,63.7,34.0,Barlows Primary School,Fazakerley
78.2,41.1,51.7,Barlows Primary School,Fazakerley
57.2,53.7,46.4,Barlows Primary School,Fazakerley
48.1,58.2,49.3,Barlows Primary School,Fazakerley
68.7,82.7,55.2,Barlows Primary School,Fazakerley
62.8,96.7,53.2,Barlows Primary School,Fazakerley
39.4,59.3,48.0,Barlows Primary School,Fazakerley
62.3,84.1,55.5,Barlows Primary School,Fazakerley
58.1,31.8,45.9,Barlows Primary School,Fazakerley
67.3,35.3,49.2,Barlows Primary School,Fazakerley
40.2,53.9,60.7,Barlows Primary School,Fazakerley
85.3,77.3,49.4,Barlows Primary School,Fazakerley
50.3,51.0,51.4,Barlows Primary School,Fazakerley
48.1,29.2,31.6,Barlows Primary School,Fazakerley
18.5,85.4,45.0,Barlows Primary School,Fazakerley
57.3,66.8,37.8,Barlows Primary School,Fazakerley
99.8,32.7,64.4,Barlows Primary School,Fazakerley
31.8,30.6,29.3,Barlows Primary School,Fazakerley
37.3,76.5,66.4,Barlows Primary School,Fazakerley
57.4,31.4,83.7,Barlows Primary School,Fazakerley
82.9,63.1,74.0,Barlows Primary School,Fazakerley
65.2,64.5,65.5,Barlows Primary School,Fazakerley
71.4,49.9,59.9,Barlows Primary School,Fazakerley
66.6,56.8,56.4,Barlows Primary School,Fazakerley
38.5,54.2,63.7,Barlows Primary School,Fazakerley
42.0,34.4,43.8,Barlows Primary School,Fazakerley
54.8,72.3,42.5,Barlows Primary School,Fazakerley
38.5,33.3,57.2,Barlows Primary School,Fazakerley
32.3,76.3,69.1,Barlows Primary School,Fazakerley
89.7,62.6,48.7,Barlows Primary School,Fazakerley
53.6,25.9,40.0,Barnston Primary School,Barnston
34.9,33.8,62.2,Barnston Primary School,Barnston
79.6,60.1,44.6,Barnston Primary School,Barnston
65.6,64.8,58.6,Barnston Primary School,Barnston
67.8,53.1,61.0,Barnston Primary School,Barnston
62.2,49.2,68.0,Barnston Primary School,Barnston
39.2,45.2,47.9,Barnston Primary School,Barnston
47.1,55.1,50.8,Barnston Primary School,Barnston
57.4,44.5,42.7,Barnston Primary School,Barnston
70.4,52.7,44.0,Barnston Primary School,Barnston
30.1,19.1,48.9,Barnston Primary School,Barnston
55.8,63.0,57.8,Barnston Primary School,Barnston
59.6,65.3,56.9,Barnston Primary School,Barnston
49.7,57.5,56.6,Barnston Primary School,Barnston
62.5,68.1,56.4,Barnston Primary School,Barnston
32.2,39.6,65.5,Barnston Primary School,Barnston
57.1,38.9,46.0,Barnston Primary School,Barnston
45.2,19.9,79.3,Barnston Primary School,Barnston
52.5,70.3,47.8,Barnston Primary School,Barnston
43.5,44.1,49.9,Barnston Primary School,Barnston
58.3,67.9,51.6,Barnston Primary School,Barnston
58.5,52.2,58.7,Barnston Primary School,Barnston
27.6,77.4,47.5,Barnston Primary School,Barnston
56.6,60.5,63.2,Barnston Primary School,Barnston
80.6,71.7,59.0,Barnston Primary School,Barnston
60.9,72.1,63.2,Barnston Primary School,Barnston
40.4,28.7,54.1,Barnston Primary School,Barnston
57.8,58.3,41.7,Barnston Primary School,Barnston
54.8,53.6,60.7,Barnston Primary School,Barnston
50.2,55.7,40.1,Barnston Primary School,Barnston
66.6,41.3,57.8,Barnston Primary School,Barnston
